NOME$TIPO_PIATTO$ING_PRINCIPALE$PERSONE$NOTE$INGREDIENTI$PREPARAZIONE$ID_AUTORE
17 Marzo$Bevande$China Martini$1$-$2/10 ==== Panna Liquida+Alcune Gocce ==== Liquore Allo Zabaglione+2/10 ==== Vanil Zucca+3/10 ==== Illy caffè Espresso+3/10 ==== China Martini$Mettere i primi tre ingredienti nello shaker con ghiaccio. Mischiare la panna liquida con lo zabaglione. Versare il contenuto dello shaker nel bicchiere (doppia coppetta da cocktail) ed aggiungere il resto.$0
1908$Bevande$Cointreau$1$-$8/10 ==== Vino Castelblanch Extra Brut+1/10 ==== Cointreau+1/10 ==== Passoa+1 ==== Mandarino Cinese$Mettere il Cointreau e il Passoa nel bicchiere flute ghiacciato. Versare alla fine il Castelblanch ben freddo, mescolando delicatamente. Mettere il mandarino sul bordo del bicchiere.$0
31 Marzo$Bevande$Aperol$1$-$Alcune Gocce ==== Bitter Campari+1/4 ==== Aperol+1/4 ==== Vermouth Martini Bianco+2/4 ==== Gin Beefeater+1 Rondella ==== Scorza D'arancia$Versare gli ingredienti nel mixing glass con abbondante ghiaccio. Mescolare delicatamente e servire nella coppetta, decorandola con buccia d'arancia.$0
333$Bevande$Calvados$1$-$1/3 ==== Calvados+1/3 ==== Cointreau+1/3 ==== Succo Di Pompelmo+1 ==== Ciliegia Candita$Versare i primi 3 ingredienti in uno shaker con alcuni cubetti di ghiaccio. Agitare. Passare in un piccolo bicchiere con stelo. Decorare con 1 ciliegia candita.$0
4 Luglio$Bevande$Vino Rosso$4$-$5/10 ==== Vino Rosso+2/10 ==== Succo Di Limone+1/10 ==== Vino Champagne+1/10 ==== Cognac+1/10 ==== Tè+Poca ==== Frutta Di Stagione$Versate i primi 5 ingredienti in una caraffa di vetro, aggiungete cubetti di ghiaccio e poca frutta di stagione a dadini. Mescolate e servite.$0
57 Chevy$Bevande$Vodka$1$-$1/3 ==== Vodka+Qb ==== Granatina+Qb ==== Succo D'arancia+1/3 ==== Gin+1/3 ==== Southern Comfort+Qb ==== Succo D'ananas$Mettere Southern Comfort, gin, vodka in un bicchiere. Colmare con succo d'arancia e succo di pompelmo, quindi mettere sopra la granatina. Non agitare.$0
A And B$Bevande$Benedictine$1$-$2 Cucchiai ==== Applejack (calvados)+2 Cucchiai ==== Benedictine$Versate nella coppetta da cocktail, senza mescolare.$0
A B C (amici Bevete Cointreau)$Bevande$Cointreau$1$-$3/10 ==== Succo Di Limone+4/10 ==== Succo D'arancia Del Monte+1/10 ==== Gordon's Gin+2/10 ==== Cointreau+==== Per Guarnire:+1 ==== Ciliegina Rossa Al Maraschino$Agitare vigorosamente e servire nella coppetta da cocktail ben fredda. Guarnire con ciliegina rossa al maraschino.$0
A Chi Piace$Bevande$Aperol$1$-$6/10 ==== Aperol+3/10 ==== Vodka Glaciale Keglevich Alla Pesca+1/10 ==== Sciroppo Di Fragola Toschi+Qb ==== Succo Di Frutta Passion Fruit+==== Per Guarnire:+Qb ==== Frutta Tropicale A Piacere$Si prepara nello shaker ('boston') con ghiaccio versando i primi tre ingredienti. Agitare e servire nel bicchiere tumbler alto con ghiaccio completando con succo di frutta. Guarnizioni fantasia con frutta tropicale.$0
A Lulu$Bevande$Rum Merito$1$-$3/8 ==== Rum Merito+1/8 ==== Crema De Noyaux Bols+1/8 ==== Galliano+1/8 ==== Passion Fruit Bectar Mynor+2/8 ==== Succo D'arancia$Si prepara nello shaker con ghiaccio. Si serve nella coppetta da cocktail.$0
A Pizza Ca' Pummarola Ncopp'$Primo$Pomodorini$8$Luogo: Campania.$700 G ==== Farina+3500 Cl ==== Acqua Tiepida+1 Cucchiaino ==== Sale+1/2 Cucchiaino ==== Zucchero+1 Panetto ==== Lievito Di Birra+1 Scatola ==== Pomodorini+Qb ==== Basilico+250 G ==== Mozzarella$Mettere a fontana la farina, al centro sbriciolare il lievito aggiungere il sale lo zucchero e l'acqua lentamente cominciando ad impastare il tutto. Quando sentite che la pasta  abbastanza elastica e si stacca dalle pareti della terrina lasciatela lievitare per almeno un'ora e mezza. Ungere una teglia o anche due, perché la pasta  abbondante, stendere ben bene una parte di pasta e ricoprirla di pomodoro, basilico, sale, un filo d'olio, quindi in forno già preriscaldato a 250 gradi per 30 minuti. Solo 5 minuti prima aggiungervi la mozzarella a dadini.$0
A Pizza Ca' Pummarola Ncopp' (2)$Primo$Passata Di Pomodoro$8$Luogo: Campania.$700 G ==== Farina+3500 Cl ==== Acqua Tiepida+1 Cucchiaino ==== Sale+1/2 Cucchiaino ==== Zucchero+1 Panetto ==== Lievito Di Birra+50 Cl ==== Passata Di Pomodoro+Qb ==== Basilico+250 G ==== Mozzarella$Mettere a fontana la farina, al centro sbriciolare il lievito aggiungere il sale lo zucchero e l'acqua lentamente cominciando ad impastare il tutto. Quando sentite che la pasta  abbastanza elastica e si stacca dalle pareti della terrina lasciatela lievitare per almeno un'ora e mezza. Ungere una teglia o anche due, perché la pasta  abbondante, stendere ben bene una parte di pasta e ricoprirla di pomodoro, basilico, sale, un filo d'olio, quindi in forno già preriscaldato a 250 gradi per 30 minuti. Solo 5 minuti prima aggiungervi la mozzarella a dadini.$0
